0,1,Hans Pakes,2
1,2,Bagwant Dhaliwal,3
2,3,Clark Webster,2
3,4,Mukhtar Galab,4
4,5,Hani al Hallak,3
5,6,Jamal Kalifa,2
6,7,Ralph Goode,1
7,8,Abul Hassan Salman,1
8,9,Clark Adams,1
9,10,Vincent Cortez,1
10,11,Arnaldo Gueterrez,1
11,12,Ben Hassine,1
12,13,Ahmed Yassin,1
13,14,Wallace Wilson,1
14,15,Karm Bensaid,1
15,16,Carl Louis,1
16,17,Abdelhak Kherbane,1
17,18,Mark Davis,2
18,19,Hamid Alwan,1
19,20,Alwan,1
20,21,Abdulla Ramzi,1
21,22,Abdul Ramazi,5
22,23,Faysal Goba,3
23,24,Yasein Mosed,2
24,25,Masood Yaser,2
25,26,Omar Clark,1
26,27,Joseph Nizar,1
27,28,Shiela Watson,2
28,29,Steven Clark,1
29,30,Tawfiq al Adel,3
30,31,Saeed Khallad,2
31,32,Riduan bin Attash,1
32,33,Saleh al Ahdal,1
33,34,Jelte Nijboer,1
34,35,al Ahdal,1
35,36,bin Attash,1
36,37,Saeed Khaliad,1
37,38,Jamil Musawi,1
38,39,Ziad al Shibh,1
39,40,Muhammad Shamzi,1
40,41,Vincent Lozario,1
41,42,Khalfan Maulid,1
42,43,Abu al Masri,2
43,44,Abdul al Hada,1
44,45,Sahim Albakri,1
45,46,Muhammed bin Harazi,1
46,47,Omar Bakri Qatada,1
47,48,Qatada,1
48,49,Richard Reid,1
