0,1,person,2
1,4,person,5
2,21,person,22
3,22,person,23
4,24,person,25
5,29,person,30
6,9,person,10
7,10,person,11
8,11,person,12
9,12,person,13
10,30,person,31
11,33,person,34
12,34,person,35
13,35,person,36
14,0,person,1
15,2,person,3
16,3,person,4
17,39,person,40
18,40,person,41
19,41,person,42
20,44,person,45
21,45,person,46
22,38,person,39
23,46,person,47
24,47,person,48
25,48,person,49
26,5,person,6
27,7,person,8
28,8,person,9
29,17,person,18
30,27,person,28
31,28,person,29
32,23,person,24
33,6,person,7
34,14,person,15
35,169,date,7
36,163,date,1
37,165,date,3
38,182,date,20
39,178,date,16
40,174,date,12
41,172,date,10
42,166,date,4
43,187,date,25
44,168,date,6
45,199,date,37
46,198,date,36
47,205,date,43
48,204,date,42
49,203,date,41
50,197,date,35
51,176,date,14
52,208,date,46
53,171,date,9
54,194,date,32
55,175,date,13
56,191,date,29
57,192,date,30
58,193,date,31
59,188,date,26
60,173,date,11
