0,1,person,2
1,21,person,22
2,22,person,23
3,2,person,3
4,38,person,39
5,29,person,30
6,30,person,31
7,33,person,34
8,34,person,35
9,35,person,36
10,9,person,10
11,10,person,11
12,11,person,12
13,12,person,13
14,3,person,4
15,4,person,5
16,44,person,45
17,45,person,46
18,23,person,24
19,46,person,47
20,47,person,48
21,48,person,49
22,17,person,18
23,27,person,28
24,28,person,29
25,247,org,39
26,210,org,2
27,249,org,41
28,212,org,4
29,248,org,40
30,220,org,12
31,219,org,11
32,221,org,13
33,233,org,25
34,250,org,42
35,230,org,22
36,209,org,1
37,231,org,23
38,255,org,47
39,254,org,46
40,240,org,32
41,237,org,29
42,238,org,30
43,242,org,34
44,241,org,33
